FCFS			
Average Response Time	Average Turnaround	Average Wait Time	Average Throughtput
10060	29183	19608	20
2494	17790	10130	14
8615	28423	18505	18
2499	17971	10224	14
8654	28752	18689	18
9819	28454	19122	19
7182	27250	17203	18
8692	28553	18608	19
9785	28401	19079	19
9746	28252	18985	19
7150	27301	17212	18
2461	18172	10305	14
8726	28505	18602	19
2486	18148	10305	14
5116	24742	14917	17
2474	18317	10384	14
2425	17991	10196	14
8536	27920	18214	18
2425	18772	10587	14
7038	26891	16951	18
2468	18139	10292	14
9866	28631	19235	19
9752	28241	18983	19
7167	28127	17633	18
9841	28537	19175	19
9846	28548	19182	19
5113	25084	15086	17
9548	27670	18596	19
9899	28666	19268	19
9713	28151	18918	19
5149	24921	15022	17
7069	27145	17094	18
7199	27703	17438	18
2384	17886	10123	14
8509	27567	18025	18
2487	17992	10228	14
7176	27716	17432	18
9937	28839	19373	20
5070	24399	14722	17
9407	27236	18308	18
8627	28465	18532	18
5149	24322	14723	17
9726	28202	18950	19
9623	27883	18739	19
7154	27665	17395	18
5073	24317	14682	17
9663	28007	18821	19
9634	27920	18763	19
5116	24157	14624	17
7055	26673	16851	18
8689	28338	18499	19
10060	29199	19615	20
2480	18376	10416	14
9457	27392	18411	19
2425	18240	10321	14
2505	17991	10236	14
7233	27888	17547	18
5117	24178	14635	17
7171	27579	17362	18
9718	28162	18926	19
5073	24471	14760	17
7056	26842	16936	18
8340	27420	17867	18
10108	29353	19716	20
2423	18191	10295	14
7117	27065	17077	18
2430	18440	10423	14
8826	28769	18783	19
9763	28292	19015	19
9529	27615	18559	19
7233	27943	17574	18
2485	18254	10358	14
8604	28988	18782	19
7112	26400	16743	17
9552	27672	18598	19
9730	28213	18957	19
9539	27623	18567	19
9847	28572	19196	19
9791	28427	19095	19
9574	27760	18653	19
9696	28127	18898	19
2422	18574	10487	15
7061	27360	17197	18
2414	18555	10473	14
9460	27382	18407	18
7125	27326	17212	18
8348	27425	17874	18
9823	28495	19145	19
8660	28345	18489	18
9949	28837	19379	19
7092	27487	17276	18
8601	28613	18593	18
9783	28359	19057	19
5090	24332	14698	17
9899	28744	19307	19
9857	28563	19195	19
5161	24468	14801	17
9779	28336	19044	19
7066	26648	16844	18
9919	28769	19330	19
7269.95	28976	19469	19.5
