RR1	"2,2,2"			15.5	RR2	"1,2,3"			17.5	RR3	"2,4,6"			15	RR4	"3,6,9"			13.5
Average Response Time	Average Turnaround Time	Average Wait Time 	Average Throughput	13746.66	Average Response Time	Average Turnaround Time	Average Wait Time 	Average Throughput	17519	Average Response Time	Average Turnaround Time	Average Wait Time 	Average Throughput	14832	Average Response Time	Average Turnaround Time	Average Wait Time 	Average Throughput	13349.5
9570	27713	18628	19	22898	9270	26814	18029	18	26049	7247	20761	13995	14	22016.5	9268	26806	18024	18	19951
4369	13111	8735	9	7948.5	9401	27217	18296	18	9013.5	9698	28109	18890	19	7666.5	8305	23932	16108	16	6766
7413	21271	14332	14		7703	22133	14908	15		8483	24468	16464	16		8917	25771	17332	17	
4265	12857	8556	9		8631	24902	16754	17		7977	22942	15449	15		7456	21381	14409	14	
8754	25277	17004	17		4304	13220	8757	9		8052	23169	15600	15		9643	27943	18779	19	
9105	26314	17697	18		7980	22942	15450	15		7121	20387	13745	14		9784	28350	19053	19	
6302	17975	12131	12		4373	13206	8784	9		4373	13206	8784	9		7470	21434	14443	15	
8741	25246	16981	17		6141	17513	11820	12		8843	25553	17186	17		8939	25839	17376	18	
8778	25381	17068	17		4361	13220	8785	9		4361	13220	8785	9		8431	24338	16373	16	
6243	17783	12005	12		8087	23276	15670	16		8905	25728	17304	17		4271	12938	8599	9	
8704	25130	16905	17		7743	22249	14986	15		9511	27551	18517	19		9630	27906	18754	19	
8647	24971	16797	17		8895	25714	17292	17		9397	27223	18297	18		4358	13189	8768	9	
7405	21215	14301	14		7064	20192	13619	14		8794	25370	17070	17		8332	23985	16147	16	
8287	23877	16071	16		9086	26271	17666	18		7097	20317	13698	14		8378	24145	16250	16	
9514	27576	18532	18		8241	23757	15988	16		9582	27781	18668	19		7551	21691	14612	15	
7379	21191	14275	14		6146	17550	11840	12		8935	25847	17378	17		7377	21177	14268	14	
4468	13189	8823	9		8723	25188	16944	17		7920	22779	15339	15		7878	22677	15268	16	
9289	26877	18070	18		9149	26458	17791	18		6954	19889	13413	13		8839	25528	17171	17	
8501	24498	16488	17		9192	26564	17865	18		8835	25493	17152	17		4237	13235	8731	9	
8535	24646	16579	17		7695	22129	14902	15		8874	25663	17256	17		8745	25275	16998	17	
8965	25973	17458	16		7221	20694	13949	14		7117	20380	13739	14		9490	27489	18476	18	
4297	13295	8790	9		4297	13295	8790	9		9437	27344	18377	18		7526	21614	14560	15	
9548	27628	18575	19		6113	17364	11732	12		9548	27628	18575	19		8831	25477	17142	17	
9322	27041	18168	18		4271	13357	8809	9		7146	20534	13831	14		9349	27122	18222	18	
6310	18037	12166	12		7287	20885	14077	14		4345	13178	8756	9		8884	25665	17262	17	
9284	26863	18061	18		4386	13318	8847	9		8125	23386	15744	16		8464	24404	16422	16	
8343	24047	16184	16		4319	13373	8841	9		4319	13373	8841	9		9700	28114	18893	19	
6293	17941	12110	12		7627	21907	14757	15		9440	27345	18379	19		8688	25089	16877	17	
8102	23285	15683	16		9050	26122	17573	18		4218	13060	8634	9		5347	16108	10718	10	
9290	26880	18072	18		6128	17481	11797	12		7968	22916	15431	15		4207	12939	8568	9	
9830	28510	19156	19		8967	25920	17431	17		8103	23328	15704	16		8430	24309	16358	16	
6332	18060	12188	12		8358	24075	16205	16		4266	13121	8689	9		4266	13120	8687	9	
7532	21632	14572	15		7201	20638	13911	14		9459	27399	18415	18		9002	26027	17502	18	
9148	26440	17781	18		8598	24792	16684	17		8454	24360	16396	17		4336	12908	8617	9	
9033	26126	17567	17		8734	25228	16969	17		7821	22492	15146	15		8181	23570	15864	16	
4382	13039	8705	9		7570	21739	14645	15		6869	19644	13248	13		9099	26323	17699	18	
6326	18093	12202	12		4237	13155	8691	9		9860	28613	19223	19		9435	27339	18374	18	
4207	13165	8681	9		9114	26372	17730	18		9588	27793	18676	19		9697	28121	18895	19	
8578	24778	16666	17		4404	13352	8872	9		4404	13352	8872	9		8359	24120	16228	16	
6242	17788	12008	13		7942	22842	15382	15		8624	24887	16743	17		4252	12835	8539	9	
8664	25021	16831	17		7687	22094	14881	15		4212	12973	8588	9		9266	26825	18032	18	
8574	24746	16649	17		7126	20413	13761	14		4283	13011	8642	9		4283	13011	8642	9	
9724	28197	18947	19		8839	25542	17178	17		7480	21474	14467	15		8987	25984	17473	17	
6213	17705	11951	12		4324	12990	8652	9		4324	12990	8652	9		9313	26955	18121	18	
9300	26910	18092	18		6211	17703	11949	12		9006	26027	17504	17		4230	13174	8697	9	
9295	26866	18068	18		4303	12925	8609	9		4303	12925	8609	9		9587	27743	18651	19	
8218	23676	15937	16		7133	20427	13771	14		4365	13291	8823	9		4365	13291	8823	9	
9529	27606	18554	18		4324	13125	8720	9		8987	25981	17472	17		8881	25662	17259	17	
8107	23325	15705	16		9410	27230	18307	19		6187	17673	11922	14		4431	13124	8773	9	
6218	17713	11958	12		8447	24360	16392	17		8657	24992	16813	17		8613	24857	16723	17	
9520	27588	18541	19		8336	24038	16176	16		4324	13055	8684	9		4324	13055	8684	9	
8423	24295	16348	16		8632	24914	16761	17		9097	26309	17690	18		4331	13665	8992	10	
9603	27820	18698	19		9291	26883	18074	18		9283	26859	18058	18		7515	21560	14528	15	
6262	17858	12052	12		8931	25814	17361	18		9316	26970	18130	19		7585	21824	14695	17	
7489	21496	14483	14		7193	20610	13893	14		7087	20291	13680	14		8873	25637	17243	17	
4315	13021	8663	9		9040	26112	17564	17		8025	23066	15535	15		7505	21510	14498	14	
8381	24160	16260	16		6227	17799	12006	12		8992	25991	17480	17		9600	27813	18693	19	
4430	13210	8815	9		4430	13210	8815	9		7042	20147	13585	14		8789	25375	17070	17	
6254	17833	12036	12		4180	12820	8495	9		4180	12820	8495	9		9314	26950	18120	18	
4316	13193	8749	9		6183	17612	11890	12		9717	28159	18924	19		9717	28159	18924	19	
4269	13080	8669	9		4269	13080	8669	9		7070	20249	13651	14		9211	26662	17924	18	
6196	17625	11903	12		8257	23770	16003	16		8774	25321	17035	17		9011	26031	17508	17	
4265	12706	8481	9		4265	12706	8481	9		9135	26419	17765	18		7198	20609	13894	14	
10014	29070	19528	19		4319	13443	8876	9		9793	28408	19087	19		9508	27550	18516	18	
4497	13773	9128	9		9070	26229	17637	18		7056	20202	13620	14		8370	24131	16240	16	
4200	12876	8533	9		7115	20346	13721	14		8427	24270	16337	16		7454	21355	14395	14	
8902	25745	17311	17		6283	17946	12107	12		9643	27966	18791	19		8940	25860	17388	17	
4474	13296	8879	9		9025	26094	17547	18		7094	20311	13693	14		8427	24299	16352	16	
6270	17871	12063	12		8130	23391	15750	16		7024	20089	13548	14		9762	28289	19013	19	
4470	13226	8843	9		8547	24668	16596	17		9495	27511	18490	18		7413	21267	14331	14	
5162	15257	10203	12		4270	13203	8731	9		8138	23409	15763	16		9498	27488	18480	19	
9024	26105	17552	18		8213	23675	15933	16		7081	20293	13679	14		8789	25400	17082	17	
4173	13052	8608	9		4173	13052	8608	9		9135	26411	17760	18		7523	21579	14541	15	
8052	23183	15607	16		6039	17185	11605	12		8621	24887	16743	17		8580	24765	16661	17	
4318	12945	8626	9		7026	20107	13558	14		6949	19878	13405	14		8831	25509	17158	17	
8125	23402	15753	16		4143	12822	8477	9		8790	25395	17080	17		9724	28196	18946	19	
4388	13042	8709	9		8262	23794	16017	16		8779	25343	17048	17		7445	21347	14386	14	
4164	13080	8617	9		4164	13080	8617	9		9843	28560	19188	19		9758	28304	19018	19	
9011	26087	17537	18		7779	22392	15076	15		8873	25673	17262	17		9675	28076	18862	19	
4397	13232	8809	9		7105	20364	13726	14		7916	22786	15341	15		7421	21304	14353	14	
6280	17944	12105	12		6123	17474	11791	12		9375	27162	18255	18		9644	27969	18793	19	
4343	13387	8860	9		7817	22476	15136	15		7115	20380	13738	14		9403	27232	18304	18	
4970	14848	9903	11		4235	13080	8652	9		9680	28061	18856	19		9226	26700	17951	18	
9391	27231	18298	18		7903	22767	15325	15		8644	24988	16805	16		7620	21920	14761	15	
4339	12970	8650	9		4339	12970	8650	9		8270	23814	16031	16		8173	23523	15837	16	
9009	26019	17501	18		8175	23518	15836	16		9055	26157	17593	18		9694	28074	18871	19	
4380	12956	8663	9		4380	12956	8663	9		9330	27000	18152	18		7317	20965	14132	14	
7535	21646	14581	15		4317	13267	8786	9		8098	23318	15697	16		8879	25662	17258	17	
4376	13270	8818	9		8107	23343	15715	16		7120	20393	13748	14		8997	26013	17492	17	
6423	18324	12366	12		4349	13329	8833	9		8702	25098	16889	17		7687	22058	14863	15	
7511	21592	14543	15		7206	20676	13932	14		9291	26916	18090	18		7554	21711	14623	15	
4259	13104	8676	9		5992	17409	11693	11		9649	27973	18797	18		9202	26632	17904	18	
8600	24810	16693	17		4194	12999	8591	9		9601	27811	18692	19		8402	24214	16297	16	
4232	12897	8560	9		9625	27913	18755	19		9135	26443	17777	18		7373	21159	14256	14	
4287	13308	8792	9		4287	13308	8792	9		9499	27544	18508	18		9715	28191	18940	19	
8730	25183	16944	17		8580	24731	16643	17		7132	20404	13759	14		8531	24585	16546	17	
6247	17944	12088	14		4326	13062	8689	9		9499	27475	18473	19		7475	21407	14431	14	
8647	24942	16783	17		7688	22078	14873	14		4290	13133	8706	9		7524	21575	14539	15	
7335	21039	14178	14		4432	13101	8762	9		6878	19667	13264	13		8765	25318	17030	17	
6327	18083	12197	12		8757	25284	17009	17		8086	23272	15669	16		4264	13096	8675	9	
																			
																			
				 															
